"GEOID","pct_male","pct_female"
"19141",49.5,50.5
"19143",50.5,49.5
"19145",52.4,47.6
"19147",49.6,50.4
"19149",49.1,50.9
"19151",48.8,51.2
"19153",49.3,50.7
"19155",49.3,50.7
"19157",48.1,51.9
"19159",48.7,51.3
"19161",49.4,50.6
"19163",49.1,50.9
"19165",49,51
"19167",50.2,49.8
"19169",52.2,47.8
"19171",49.6,50.4
"19173",50.8,49.2
"19175",48.6,51.4
"19177",51.3,48.7
"19179",49.5,50.5
"19181",48.9,51.1
"19183",49.6,50.4
"19185",49.3,50.7
"19187",51.6,48.4
"19189",49.3,50.7
"19191",49.6,50.4
"19193",49.5,50.5
"19195",50.4,49.6
"19197",50.5,49.5
"20001",49.5,50.5
"20003",49.7,50.3
"20005",48.2,51.8
"20007",50.9,49.1
"20009",49.3,50.7
"20011",49.3,50.7
"20013",49.2,50.8
"20015",50.6,49.4
"20017",51.3,48.7
"20019",52.6,47.4
"20021",49.6,50.4
"20023",49.8,50.2
"20025",51.8,48.2
"20027",49.9,50.1
"20029",49.8,50.2
"20031",50.9,49.1
"20033",53.2,46.8
"20035",50.5,49.5
"20037",50,50
"20039",49.8,50.2
"20041",50.4,49.6
"20043",51,49
"20045",49.6,50.4
"20047",49.8,50.2
"20049",48.9,51.1
"20051",49.8,50.2
"20053",56.7,43.3
"20055",51.4,48.6
"20057",52,48
"20059",49.1,50.9
"20061",53.4,46.6
"20063",50.3,49.7
"20065",50.1,49.9
"20067",52.1,47.9
"20069",50.2,49.8
"20071",50.3,49.7
"20073",50.4,49.6
"20075",54.5,45.5
"20077",50.9,49.1
"20079",49.7,50.3
"20081",50.2,49.8
"20083",51,49
"20085",50,50
"20087",50.6,49.4
"20089",51.1,48.9
"20091",49,51
"20093",47.6,52.4
"20095",50,50
"20097",48.5,51.5
"20099",49.2,50.8
"20101",51,49
"20103",53.6,46.4
"20105",51.3,48.7
"20107",50.1,49.9
"20109",50.2,49.8
"20111",48.4,51.6
"20113",49.3,50.7
"20115",50.1,49.9
"20117",50.1,49.9
"20119",50,50
"20121",49.8,50.2
"20123",50.9,49.1
"20125",49.8,50.2
"20127",49.8,50.2
"20129",49.9,50.1
"20131",50.7,49.3
"20133",49.6,50.4
"20135",51.2,48.8
"20137",55.4,44.6
"20139",50.1,49.9
"20141",50,50
"20143",51.5,48.5
"20145",55.4,44.6
"20147",49.3,50.7
"20149",50,50
"20151",50,50
"20153",51,49
"20155",50.3,49.7
"20157",48.2,51.8
"20159",50.2,49.8
"20161",53,47
"20163",48.1,51.9
"20165",49.7,50.3
"20167",49.7,50.3
"20169",49.6,50.4
"20171",52,48
"20173",49.4,50.6
"20175",51.1,48.9
"20177",48.3,51.7
"20179",51.3,48.7
"20181",52,48
"20183",49.5,50.5
"20185",50.8,49.2
"20187",49.2,50.8
"20189",50.6,49.4
"20191",50,50
"20193",48.3,51.7
"20195",50.1,49.9
"20197",50.7,49.3
"20199",48.8,51.2
"20201",51.1,48.9
"20203",46.9,53.1
"20205",49,51
"20207",50.9,49.1
"20209",49.6,50.4
"21001",49.6,50.4
"21003",49.9,50.1
"21005",49,51
"21007",49.4,50.6
"21009",48.1,51.9
"21011",49.7,50.3
"21013",49.2,50.8
"21015",49.7,50.3
"21017",48,52
"21019",50,50
"21021",50.1,49.9
"21023",50.4,49.6
"21025",50.2,49.8
"21027",50.4,49.6
"21029",50,50
"21031",50.3,49.7
"21033",49.2,50.8
"21035",48.5,51.5
"21037",48.9,51.1
"21039",48.9,51.1
"21041",51.2,48.8
"21043",49.1,50.9
"21045",48.8,51.2
"21047",53.2,46.8
"21049",48.8,51.2
"21051",52.4,47.6
"21053",50,50
"21055",51.1,48.9
"21057",48.6,51.4
"21059",48.8,51.2
"21061",50.4,49.6
"21063",56.8,43.2
"21065",49.3,50.7
"21067",49,51
"21069",49.3,50.7
"21071",48.9,51.1
"21073",48.5,51.5
"21075",50.2,49.8
"21077",51.4,48.6
"21079",48.8,51.2
"21081",49.4,50.6
"21083",49.2,50.8
"21085",49.8,50.2
"21087",49,51
"21089",48.9,51.1
"21091",51.9,48.1
"21093",49.8,50.2
"21095",48.2,51.8
"21097",49.4,50.6
"21099",49.2,50.8
"21101",48.3,51.7
"21103",49.7,50.3
"21105",47.4,52.6
"21107",48.8,51.2
"21109",49.6,50.4
"21111",48.3,51.7
"21113",48.3,51.7
"21115",49.1,50.9
"21117",49.5,50.5
"21119",49.2,50.8
"21121",48.8,51.2
"21123",49.3,50.7
"21125",48.9,51.1
"21127",49.6,50.4
"21129",52.7,47.3
"21131",49.1,50.9
"21133",48.7,51.3
"21135",50.1,49.9
"21137",49,51
"21139",49.6,50.4
"21141",48.8,51.2
"21143",52.7,47.3
"21145",48,52
"21147",54.5,45.5
"21149",49.3,50.7
"21151",48.7,51.3
"21153",49.9,50.1
"21155",50.7,49.3
"21157",48.8,51.2
"21159",55.2,44.8
"21161",49.6,50.4
"21163",50.5,49.5
"21165",53,47
"21167",49.2,50.8
"21169",49.8,50.2
"21171",50.2,49.8
"21173",49.3,50.7
"21175",56.3,43.7
"21177",49.2,50.8
"21179",49.9,50.1
"21181",48.1,51.9
"21183",49.2,50.8
"21185",52.4,47.6
"21187",49.7,50.3
"21189",45.4,54.6
"21191",50.9,49.1
"21193",49.5,50.5
"21195",48.5,51.5
"21197",49,51
"21199",48.7,51.3
"21201",46.2,53.8
"21203",48.5,51.5
"21205",48.2,51.8
"21207",48.6,51.4
"21209",49.3,50.7
"21211",48.5,51.5
"21213",49.2,50.8
"21215",50.6,49.4
"21217",49,51
"21219",49.4,50.6
"21221",49.8,50.2
"21223",49.3,50.7
"21225",52.2,47.8
"21227",49,51
"21229",49.1,50.9
"21231",49.8,50.2
"21233",49.6,50.4
"21235",49,51
"21237",50,50
"21239",47.3,52.7
"22001",48.7,51.3
"22003",56.8,43.2
"22005",49.4,50.6
"22007",48.3,51.7
"22009",50.4,49.6
"22011",50.8,49.2
"22013",47.2,52.8
"22015",49.3,50.7
"22017",47.4,52.6
"22019",48.8,51.2
"22021",52.4,47.6
"22023",48.4,51.6
"22025",52.5,47.5
"22027",57.1,42.9
"22029",50.8,49.2
"22031",48.7,51.3
"22033",47.8,52.2
"22035",60.7,39.3
"22037",55.7,44.3
"22039",51.3,48.7
"22041",48.9,51.1
"22043",56.5,43.5
"22045",48.9,51.1
